title,artist,year,spotify_url
Bohemian Rhapsody,Queen,1975,https://open.spotify.com/track/3z8h0TU7ReDPLIbEnYhWZb
Billie Jean,Michael Jackson,1982,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
